Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,,,,
3-10-2023 1:20:58,IIT Madras,Chennai,,IIT MADRAS,18,,No One,2,4,4,4,4,5,4,4,4,5,4,,,,1
3-10-2023 1:21:36,IIT Madras,Chennai,,IIT MADRAS,18,,Father,1,4,5,5,3,4,4,5,4,4,3,,,,1
3-10-2023 1:22:17,IIT MADRAS,Chennai,,IIT MADRAS,18,,Mother,2,4,5,5,4,5,5,5,4,4,4,,,,1
3-10-2023 1:22:56,IIT madras,Chennai,,IIT MADRAS,18,,No One,2,4,4,4,2,4,3,5,3,3,2,,,,2
3-10-2023 1:23:36,iit madras,Chennai,,IIT MADRAS,18,,Grandparents,2,4,4,4,4,5,5,4,3,3,3,,,,1
3-10-2023 11:57:13,IIT Madras,Chennai,,IIT MADRAS,18,,Sibling,2,5,5,3,4,3,4,4,4,4,4,,,,-1
3-10-2023 11:57:48,IIT Madras,Chennai,,IIT MADRAS,18,,No One,2,4,4,4,4,4,4,4,4,4,4,,,,0
2-25-2023 11:15:45,IITM,Chennai,,IITM,18,,No One,3,4,4,3,4,5,5,5,4,3,4,,,,1
2-27-2023 19:27:38,IITM,Chennai,,IITM,18,,No One,1,4,4,3,4,4,4,5,5,3,4,,,,0
3-2-2023 7:06:19,IITM,Chennai,,IITM,18,,No One,3,3,3,3,4,5,4,4,5,5,2,,,,1
3-3-2023 16:13:33,IITM,Chennai,,IITM,18,,No One,3,4,4,3,2,2,4,4,5,4,4,,,,0
3-13-2023 17:30:29,iitm,Chennai,,IITM,18,,No One,1,4,4,4,4,4,4,4,4,4,4,,,,0
3-13-2023 19:07:17,IITM,Chennai,,IITM,18,,No One,4,4,4,3,5,5,5,3,4,3,5,,,,0
3-13-2023 19:46:46,IITM,Chennai,,IITM,18,,No One,4,5,5,4,5,5,5,4,5,5,5,,,,0
3-13-2023 19:48:12,IITM,Chennai,,IITM,18,,No One,2,5,5,5,5,5,5,5,5,5,5,,,,0
3-13-2023 19:48:43,IITM,Chennai,,IITM,18,,No One,3,5,5,5,5,5,5,5,5,5,5,,,,0
3-13-2023 19:49:09,IITM,Chennai,,IITM,18,,No One,2,5,5,5,5,5,5,5,5,5,5,,,,0
16-03-2023 08:39,IITM,Chennai,,IITM,18,,Mother,3,4,5,2,3,5,4,4,4,4,3,,,,2
3-5-2023 11:46:28,IIT Patna ,Patna,,IIT PATNA ,19,,Father,2,2,3,3,4,5,5,1,2,1,2,,,,1
3-13-2023 16:17:52,IIT Patna ,Patna,,IIT PATNA ,19,,No One,2,3,2,2,3,5,5,4,3,2,4,,,,2
3-13-2023 16:19:35,IIT Patna ,Patna,,IIT PATNA ,19,,No One,4,3,4,2,1,5,5,4,2,2,2,,,,4
3-13-2023 16:20:11,IIT Patna ,Patna,,IIT PATNA ,19,,Father,3,4,4,2,5,5,5,4,3,2,5,,,,0
3-10-2023 1:30:30,IIT Rooar,Ropar,,IIT ROOAR,20,,No One,3,4,4,4,3,5,4,3,2,3,4,,,,2
3-13-2023 19:15:13,IIT Ropar,Ropar,,IIT ROPAR,20,,No One,3,2,2,1,3,5,3,2,4,1,1,,,,2
3-10-2023 1:31:21,IIT Ropar ,Ropar,,IIT ROPAR ,20,,Father,1,3,4,4,2,4,4,3,3,3,2,,,,2
3-10-2023 1:32:15,IIT Ropar ,Ropar,,IIT ROPAR ,20,,Grandparents,3,2,3,3,1,2,3,3,3,2,2,,,,1
3-10-2023 1:32:54,IIT Ropar ,Ropar,,IIT ROPAR ,20,,No One,3,3,5,5,3,4,4,3,4,2,4,,,,1
3-10-2023 1:33:38,IIT Ropar ,Ropar,,IIT ROPAR ,20,,No One,2,3,3,5,4,5,4,3,4,2,2,,,,1
3-13-2023 16:22:55,IIT Ropar ,Ropar,,IIT ROPAR ,20,,No One,2,4,5,3,5,5,3,5,3,3,5,,,,0
3-13-2023 16:23:57,IIT Ropar ,Ropar,,IIT ROPAR ,20,,No One,3,3,4,2,4,5,3,4,3,2,2,,,,1
3-3-2023 23:34:46,IIT Roorkee,Roorkee,,IIT ROORKEE,21,,No One,1,4,3,4,2,4,4,4,4,3,4,,,,2
2-9-2023 21:28:54,IIT Roorkee ,Roorkee,,IIT ROORKEE ,21,,No One,2,3,3,1,5,3,3,4,3,1,2,,,,-2
2-11-2023 10:46:51,IIT Roorkee ,Roorkee,,IIT ROORKEE ,21,,No One,2,3,3,4,4,5,3,3,3,1,4,,,,1
2-27-2023 17:43:12,IIT Roorkee ,Roorkee,,IIT ROORKEE ,21,,No One,3,3,2,2,4,4,4,3,4,1,3,,,,0
3-13-2023 16:10:47,IIT Roorkee ,Roorkee,,IIT ROORKEE ,21,,No One,3,2,5,2,5,5,5,5,3,2,3,,,,0
2-14-2023 10:44:32,IITR,Roorkee,,IITR,21,,No One,2,3,3,1,3,4,3,3,3,2,2,,,,1
2-8-2023 14:45:14,NITK,Mangalore,,NITK,22,,No One,2,2,3,2,1,5,1,2,4,1,5,,,,4
2-8-2023 14:45:25,NITK,Mangalore,,NITK,22,,No One,2,3,4,2,4,4,4,4,4,2,3,,,,0
2-8-2023 14:47:37,NITK,Mangalore,,NITK,22,,No One,2,2,2,1,3,4,2,3,5,1,3,,,,1
2-8-2023 14:47:37,NITK,Mangalore,,NITK,22,,Mother,2,3,4,4,4,5,4,2,3,3,3,,,,1
2-8-2023 14:59:43,Nitk,Mangalore,,NITK,22,,No One,2,4,4,3,3,5,4,5,2,2,1,,,,2
2-8-2023 15:00:40,Nitk,Mangalore,,NITK,22,,No One,4,4,3,2,3,3,4,2,3,3,3,,,,0
2-8-2023 15:05:17,NITK,Mangalore,,NITK,22,,No One,2,3,2,3,4,5,4,4,4,2,3,,,,1
2-8-2023 15:07:11,Nitk,Mangalore,,NITK,22,,No One,2,2,5,4,4,3,4,3,2,2,2,,,,-1
2-8-2023 15:07:30,Nitk,Mangalore,,NITK,22,,No One,2,2,3,1,5,4,4,2,2,2,3,,,,-1
2-8-2023 15:10:28,NITK,Mangalore,,NITK,22,,Father,2,3,4,3,2,4,4,3,4,3,2,,,,2
2-8-2023 15:39:26,NITK,Mangalore,,NITK,22,,No One,3,1,3,3,5,5,4,3,3,2,5,,,,0
2-8-2023 15:57:19,NITK,Mangalore,,NITK,22,,No One,2,3,4,3,2,5,4,3,4,3,4,,,,3
2-8-2023 16:02:27,NITK,Mangalore,,NITK,22,,Father,2,1,3,1,2,5,3,2,2,3,4,,,,3
2-8-2023 16:12:33,NITK,Mangalore,,NITK,22,,Father,2,3,4,2,4,3,4,3,3,2,2,,,,-1
2-8-2023 16:15:42,NITK,Mangalore,,NITK,22,,No One,3,2,1,1,3,5,4,1,1,4,3,,,,2
2-8-2023 16:48:14,NITK,Mangalore,,NITK,22,,No One,2,2,2,2,5,5,5,3,3,3,5,,,,0
2-8-2023 17:17:33,NITK,Mangalore,,NITK,22,,No One,2,2,3,2,4,4,4,3,4,3,3,,,,0
2-9-2023 10:40:12,Nitk,Mangalore,,NITK,22,,No One,2,4,4,4,4,4,4,4,5,3,5,,,,0
2-9-2023 21:12:14,NITK,Mangalore,,NITK,22,,No One,2,1,2,3,3,4,4,3,2,1,4,,,,1
2-15-2023 19:14:12,NITK,Mangalore,,NITK,22,,No One,2,4,5,3,4,4,5,5,4,2,5,,,,0
2-24-2023 22:45:44,NITK,Mangalore,,NITK,22,,No One,1,1,3,4,5,4,4,2,3,3,5,,,,-1
2-27-2023 12:04:52,NITK,Mangalore,,NITK,22,,No One,2,4,3,2,3,2,4,3,3,2,3,,,,-1
2-27-2023 14:14:42,NITK,Mangalore,,NITK,22,,Grandparents,4,1,1,2,3,3,4,3,4,3,5,,,,0
2-27-2023 14:42:49,NITK,Mangalore,,NITK,22,,No One,2,1,2,2,3,5,2,2,1,2,2,,,,2
3-13-2023 15:30:13,NITK,Mangalore,,NITK,22,,No One,2,3,3,4,4,3,3,4,5,4,4,,,,-1
3-13-2023 16:23:55,NITK,Mangalore,,NITK,22,,No One,3,4,4,4,4,4,4,4,4,4,4,,,,0
3-13-2023 22:11:45,Nitk,Mangalore,,NITK,22,,Father,2,3,3,3,3,2,2,2,3,3,4,,,,-1
2-8-2023 14:48:44,NITK ,Mangalore,,NITK ,22,,No One,2,3,4,2,5,3,4,1,3,5,1,,,,-2
2-8-2023 14:54:06,NITK ,Mangalore,,NITK ,22,,No One,2,2,4,4,5,4,2,2,3,2,2,,,,-1
2-8-2023 14:55:18,NITK ,Mangalore,,NITK ,22,,No One,2,3,4,3,3,5,4,2,3,2,2,,,,2
2-8-2023 15:07:44,NITK ,Mangalore,,NITK ,22,,No One,2,3,3,4,4,3,4,4,4,4,5,,,,-1
2-8-2023 15:30:06,Nitk ,Mangalore,,NITK ,22,,No One,1,1,1,1,5,5,2,2,5,2,1,,,,0
2-8-2023 16:15:45,NITK Surathkal,Mangalore,,NITK SURATHKAL,22,,No One,3,1,2,3,4,3,4,1,3,2,2,,,,-1
2-8-2023 19:12:14,NITK Surathkal,Mangalore,,NITK SURATHKAL,22,,No One,1,1,2,2,3,4,5,1,3,3,5,,,,1
2-25-2023 0:14:11,NITK surathkal,Mangalore,,NITK SURATHKAL,22,,No One,2,2,3,2,5,5,5,4,4,2,3,,,,0
2-8-2023 16:20:46,NITK Surathkal ,Mangalore,,NITK SURATHKAL ,22,,No One,2,3,4,3,3,4,4,4,5,5,4,,,,1
2-8-2023 16:46:12,NITK Surathkal ,Mangalore,,NITK SURATHKAL ,22,,No One,2,1,4,5,2,4,3,4,3,3,3,,,,2
2-8-2023 17:24:28,NITK Surathkal ,Mangalore,,NITK SURATHKAL ,22,,Father,2,2,4,1,3,4,3,4,4,5,5,,,,1
2-8-2023 16:06:03,Nitk suratkal ,Mangalore,,NITK SURATKAL ,22,,No One,1,1,2,1,2,5,1,1,1,1,5,,,,3
2-8-2023 16:00:24,NITK-Surathkal,Mangalore,,NITK-SURATHKAL,22,,No One,2,2,3,3,4,4,4,3,2,1,4,,,,0
2-8-2023 18:29:05,National Institute of technology Karnataka,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA,22,,No One,2,3,4,3,4,4,4,4,3,3,3,,,,0
2-24-2023 23:46:06,National Institute of Technology Karnataka,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA,22,,No One,2,3,4,5,4,4,4,3,3,2,2,,,,0
2-8-2023 14:45:43,National Institute of Technology Karnataka ,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA ,22,,No One,2,3,3,2,4,4,4,3,4,2,3,,,,0
2-9-2023 15:13:24,National institute of technology Karnataka ,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA ,22,,No One,2,2,5,3,5,5,5,3,4,3,4,,,,0
2-24-2023 21:49:06,National Institute of Technology Karnataka ,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA ,22,,Father,1,2,2,4,4,4,4,4,3,4,4,,,,0
2-25-2023 10:39:47,National institute of technology Karnataka ,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA ,22,,No One,2,2,1,1,5,5,3,4,3,3,5,,,,0
2-8-2023 14:49:45,"National Institute of Technology Karnataka, Surathkal",Mangalore,,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",22,,No One,2,2,2,1,4,4,5,4,3,2,4,,,,0
2-8-2023 14:57:04,"National Institute of Technology Karnataka, Surathkal",Mangalore,,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",22,,No One,2,3,4,4,5,5,5,4,4,3,3,,,,0
2-8-2023 16:33:16,"National Institute of Technology Karnataka, Surathkal",Mangalore,,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",22,,No One,2,2,3,1,1,1,4,3,3,2,3,,,,0
2-8-2023 19:59:03,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",Mangalore,,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",22,,No One,3,2,2,2,1,4,2,2,1,2,3,,,,3
3-13-2023 15:48:23,"National Institute of Technology Karnataka, Surathkal ",Mangalore,,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL ",22,,No One,2,3,2,1,4,5,5,2,3,1,4,,,,1
2-8-2023 16:11:13,National Institute of Technology Surathkal ,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY SURATHKAL ,22,,No One,2,3,1,1,5,1,3,3,3,1,3,,,,-4
2-8-2023 15:30:02,National institute of technology Surathkal karnatka ,Mangalore,,NATIONAL INSTITUTE OF TECHNOLOGY SURATHKAL KARNATKA ,22,,No One,2,2,2,1,1,3,2,4,2,4,2,,,,2
2-24-2023 21:47:16,"National institute of technology, Karnataka",Mangalore,,"NATIONAL INSTITUTE OF TECHNOLOGY, KARNATAKA",22,,No One,2,2,3,2,5,5,2,3,3,3,4,,,,0
2-8-2023 14:49:20,NIT K ,Mangalore,,NIT K ,22,,No One,2,3,2,2,3,5,4,2,3,2,4,,,,2
2-9-2023 1:03:53,NIT Karnataka,Mangalore,,NIT KARNATAKA,22,,No One,2,2,2,3,5,5,3,4,4,1,5,,,,0
2-27-2023 11:39:52,NIT Karnataka,Mangalore,,NIT KARNATAKA,22,,No One,2,2,4,2,3,5,3,4,3,2,4,,,,2
2-8-2023 15:16:11,"NIT KARNATAKA, SURATHKAL",Mangalore,,"NIT KARNATAKA, SURATHKAL",22,,No One,1,1,1,1,5,5,4,4,1,1,5,,,,0
3-1-2023 15:32:43,"NIT Surathkal, Karnataka",Mangalore,,"NIT SURATHKAL, KARNATAKA",22,,No One,1,4,4,3,4,1,4,3,2,3,3,,,,-3
3-13-2023 17:04:24,Nit suratkal ,Mangalore,,NIT SURATKAL ,22,,No One,2,1,1,1,4,3,4,2,4,1,5,,,,-1
2-24-2023 22:20:31,"The National Institute of Technology, Surathkal, Karnataka ",Mangalore,,"THE NATIONAL INSTITUTE OF TECHNOLOGY, SURATHKAL, KARNATAKA ",22,,No One,2,2,2,1,3,4,3,2,4,2,2,,,,1
13-03-2023 22:11,Nitk,Mangalore,,NITK,22,,Father,2,3,3,3,3,2,2,2,3,3,4,,,,-1
2-11-2023 11:29:06,Banaras hindu university,Varanasi,,BANARAS HINDU UNIVERSITY,23,,No One,1,5,5,5,5,5,5,5,5,5,1,,,,0
2-11-2023 11:19:57,Banaras Hindu University ,Varanasi,,BANARAS HINDU UNIVERSITY ,23,,No One,1,1,1,1,5,5,1,1,1,1,5,,,,0
2-11-2023 11:23:12,Banaras Hindu University Varanasi Uttar Pradesh ,Varanasi,,BANARAS HINDU UNIVERSITY VARANASI UTTAR PRADESH ,23,,No One,1,3,4,5,4,5,4,1,3,2,3,,,,1
2-27-2023 19:26:15,IIT BHU,Varanasi,,IIT BHU,24,,No One,4,4,4,4,4,4,4,4,4,4,4,,,,0
3-3-2023 16:42:44,IIT BHU,Varanasi,,IIT BHU,24,,No One,2,4,4,3,3,3,3,2,3,2,3,,,,0
3-13-2023 16:21:02,"IIT, BHU",Varanasi,,"IIT, BHU",24,,Grandparents,1,5,5,5,5,5,5,5,5,5,5,,,,0
3-5-2023 14:11:32,Indian Institute of Technology Bhubaneswar ,Varanasi,,INDIAN INSTITUTE OF TECHNOLOGY BHUBANESWAR ,24,,No One,2,3,3,3,4,4,4,4,3,4,4,,,,0
3-10-2023 11:50:23,IIT Varanasi,Varanasi,,IIT VARANASI,24,,Father,2,3,3,3,4,5,3,3,4,3,4,,,,1
3-13-2023 16:20:17,KIIT,Bhubaneshwar,,KIIT,25,,Father,2,3,4,4,4,3,4,4,4,4,4,,,,-1
3-13-2023 15:57:28,KIIT ,Bhubaneshwar,,KIIT ,25,,Father,1,3,3,2,5,5,3,3,3,1,3,,,,0
3-13-2023 15:58:17,KIIT ,Bhubaneshwar,,KIIT ,25,,Father,4,4,2,2,5,5,3,3,3,1,2,,,,0
2-10-2023 18:40:24,Kalinga Institute of Industrial Technology,Bhubaneshwar,,KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY,25,,No One,5,4,5,5,2,3,4,2,4,5,2,,,,1
3-3-2023 23:35:25,KLE Belgaum,Belgaum,,KLE BELGAUM,26,,Father,2,3,3,3,2,4,3,2,3,3,3,,,,2
3-3-2023 23:38:27,KLE Belgaum,Belgaum,,KLE BELGAUM,26,,No One,1,1,3,3,1,5,3,2,2,2,2,,,,4
3-6-2023 23:41:24,Kle belgaum,Belgaum,,KLE BELGAUM,26,,Father,2,3,3,3,2,4,3,2,2,3,2,,,,2
3-6-2023 23:42:33,Kle Belgaum,Belgaum,,KLE BELGAUM,26,,Father,3,2,4,3,3,5,4,3,3,3,3,,,,2
2-26-2023 22:13:07,KLE TECHNOLOGICAL UNIVERSITY,Huballi,,KLE TECHNOLOGICAL UNIVERSITY,29,,No One,2,3,3,3,3,3,4,3,3,5,5,,,,0
2-26-2023 21:42:07,"KLE Technological University, Hubli",Huballi,,"KLE TECHNOLOGICAL UNIVERSITY, HUBLI",29,,No One,2,3,4,3,3,3,3,3,3,3,3,,,,0
2-26-2023 21:41:26,KLE technology University Hubli BVB,Huballi,,KLE TECHNOLOGY UNIVERSITY HUBLI BVB,29,,No One,2,4,5,4,4,4,3,4,4,4,1,,,,0
2-26-2023 22:42:01,KLEIT Hubli,Huballi,,KLEIT HUBLI,29,,No One,1,1,2,2,4,5,3,1,4,4,5,,,,1
3-13-2023 16:19:23,LPU,Phagwara,,LPU,27,,No One,3,3,3,3,3,3,3,3,3,3,3,,,,0
3-5-2023 11:13:26,LPU ,Phagwara,,LPU ,27,,Grandparents,4,1,3,3,5,5,4,5,3,2,4,,,,0
3-5-2023 11:14:22,LPU ,Phagwara,,LPU ,27,,No One,3,2,4,4,4,5,5,5,3,2,2,,,,1
3-13-2023 15:46:59,LPU ,Phagwara,,LPU ,27,,No One,2,5,5,3,5,3,5,5,3,1,4,,,,-2
3-13-2023 15:48:12,LPU ,Phagwara,,LPU ,27,,Father,4,5,5,5,5,5,5,5,3,2,3,,,,0
3-13-2023 17:32:28,Mahipal institute of Technology ,Manipal,,MAHIPAL INSTITUTE OF TECHNOLOGY ,28,,No One,3,3,3,2,4,4,4,3,4,2,4,,,,0
2-27-2023 19:26:59,Manipal institute of technology ,Manipal,,MANIPAL INSTITUTE OF TECHNOLOGY ,28,,No One,3,3,3,3,4,3,3,4,4,2,3,,,,-1
3-6-2023 14:37:12,Manipal institute of Technology ,Manipal,,MANIPAL INSTITUTE OF TECHNOLOGY ,28,,No One,4,3,3,3,4,3,3,2,4,2,2,,,,-1
3-13-2023 15:16:22,Manipal institute of Technology ,Manipal,,MANIPAL INSTITUTE OF TECHNOLOGY ,28,,No One,4,3,3,3,4,4,3,3,4,2,3,,,,0
3-3-2023 16:30:37,Manipal university ,Manipal,,MANIPAL UNIVERSITY ,28,,Sibling,1,3,4,2,4,4,3,2,4,2,4,,,,0
3-13-2023 15:40:26,MANIT Bhopal,Bhopal,,MANIT BHOPAL,32,,Sibling,2,2,2,1,4,5,4,1,2,3,2,,,,1
3-13-2023 15:42:00,MANIT Bhopal,Bhopal,,MANIT BHOPAL,32,,Father,4,1,2,2,5,5,5,4,4,2,5,,,,0
3-13-2023 20:16:35,MNIT Jaipur,Jaipur,,MNIT JAIPUR,30,,No One,3,2,2,1,3,5,3,2,4,3,2,,,,2
3-13-2023 20:18:28,MNIT jaipur,Jaipur,,MNIT JAIPUR,30,,Sibling,4,3,3,2,5,5,4,3,4,1,2,,,,0
3-13-2023 20:28:50,MNIT Jaipur,Jaipur,,MNIT JAIPUR,30,,No One,4,3,4,2,4,5,4,3,4,3,4,,,,1
3-13-2023 20:20:21,MNIT jaipur ,Jaipur,,MNIT JAIPUR ,30,,No One,4,3,2,1,3,4,4,2,3,3,1,,,,1
16-03-2023 12:22,NIT Jaipur,Jaipur,,NIT JAIPUR,30,,No One,2,2,2,2,3,3,4,4,4,4,4,,,,0
3-4-2023 22:29:45,NIT Allahabad,Prayagraj,,NIT ALLAHABAD,31,,No One,3,4,3,3,2,4,4,3,3,3,3,,,,2
3-4-2023 22:30:28,NIT Allahabad,Prayagraj,,NIT ALLAHABAD,31,,No One,1,4,4,4,4,5,4,3,3,3,4,,,,1
3-4-2023 22:34:27,Nit Bhopal,Bhopal,,NIT BHOPAL,32,,No One,4,3,3,4,3,5,3,3,3,3,2,,,,2
3-6-2023 11:29:59,NIT Bhopal,Bhopal,,NIT BHOPAL,32,,No One,2,3,2,3,5,4,2,2,2,2,4,,,,-1
3-8-2023 3:09:22,Nit Bhopal,Bhopal,,NIT BHOPAL,32,,No One,4,4,3,4,3,4,3,2,2,3,2,,,,1
3-10-2023 14:06:05,Nit Bhopal,Bhopal,,NIT BHOPAL,32,,No One,3,3,4,4,3,5,4,3,3,3,3,,,,2
3-10-2023 14:06:45,Nit bhopal,Bhopal,,NIT BHOPAL,32,,Father,2,3,4,4,4,2,3,3,2,2,3,,,,-2
3-10-2023 14:07:40,NIT Bhopal,Bhopal,,NIT BHOPAL,32,,Grandparents,2,2,3,4,1,2,3,2,2,1,1,,,,1
3-10-2023 14:08:37,NIT BHOPAL,Bhopal,,NIT BHOPAL,32,,Grandparents,4,3,3,4,3,5,4,4,3,3,4,,,,2
3-13-2023 17:21:43,NIT Bhopal,Bhopal,,NIT BHOPAL,32,,Sibling,2,4,4,3,4,5,4,4,4,3,5,,,,1
3-13-2023 17:22:29,NIT Bhopal,Bhopal,,NIT BHOPAL,32,,Father,3,2,2,2,4,4,4,4,4,4,4,,,,0
3-10-2023 14:05:28,Nit Bhopal ,Bhopal,,NIT BHOPAL ,32,,No One,1,3,4,3,2,4,3,2,3,3,2,,,,2
3-8-2023 3:08:46,Nit Bhopla,Bhopal,,NIT BHOPLA,32,,No One,1,3,4,4,3,4,3,3,3,3,3,,,,1
16-03-2023 12:21,NIT bhopal,Bhopal,,NIT BHOPAL,32,,No One,2,2,2,2,3,4,3,4,4,4,4,,,,1
3-3-2023 16:12:52,NIT Calicut,Calicut,,NIT CALICUT,33,,No One,1,3,3,3,4,4,4,2,4,1,3,,,,0
3-3-2023 19:14:40,NIT Calicut,Calicut,,NIT CALICUT,33,,Sibling,1,4,4,4,2,5,5,3,3,4,3,,,,3
3-6-2023 23:39:44,Nit calicut,Calicut,,NIT CALICUT,33,,Father,3,3,4,3,1,4,3,3,2,2,2,,,,3
3-6-2023 23:40:26,Nit calicut,Calicut,,NIT CALICUT,33,,No One,1,4,4,4,2,4,4,3,3,3,3,,,,2
3-10-2023 14:14:05,Nit Calicut,Calicut,,NIT CALICUT,33,,No One,2,4,4,4,2,4,3,4,3,4,3,,,,2
3-8-2023 3:07:37,Nit durgapur,Durgapur,,NIT DURGAPUR,34,,No One,3,3,3,3,2,4,3,3,3,3,2,,,,2
3-8-2023 3:08:15,NIT Durgapur,Durgapur,,NIT DURGAPUR,34,,Father,2,2,3,3,1,5,2,2,1,2,1,,,,4
3-10-2023 14:09:26,NIT Durgapur,Durgapur,,NIT DURGAPUR,34,,Father,3,3,4,4,4,3,4,4,3,4,3,,,,-1
3-10-2023 14:10:00,NIT durgapur,Durgapur,,NIT DURGAPUR,34,,No One,3,3,3,2,2,3,3,2,2,2,2,,,,1
3-10-2023 14:10:37,Nit durgapur,Durgapur,,NIT DURGAPUR,34,,Father,2,4,4,3,3,3,3,3,2,3,3,,,,0
3-10-2023 14:11:12,NIT DURGAPUR,Durgapur,,NIT DURGAPUR,34,,No One,2,4,4,4,4,2,2,3,3,3,2,,,,-2
3-10-2023 14:11:53,Nit Durgapur,Durgapur,,NIT DURGAPUR,34,,Father,2,4,3,3,3,3,4,3,3,4,3,,,,0
3-5-2023 12:53:24,NIT DURGAPUR ,Durgapur,,NIT DURGAPUR ,34,,No One,1,3,3,2,2,4,4,1,3,2,4,,,,2
3-13-2023 15:47:31,"NIT, Durgapur",Durgapur,,"NIT, DURGAPUR",34,,No One,2,3,3,2,3,5,3,2,3,3,3,,,,2
3-13-2023 15:48:52,"NIT, Durgapur",Durgapur,,"NIT, DURGAPUR",34,,Father,2,4,4,3,5,5,4,3,5,3,5,,,,0
3-13-2023 15:50:05,"NIT, Durgapur",Durgapur,,"NIT, DURGAPUR",34,,Father,2,3,4,3,5,5,4,3,4,3,5,,,,0
3-11-2023 9:59:08,NIT Nagpur,Nagpur,,NIT NAGPUR,35,,No One,2,3,4,4,4,4,4,4,4,4,4,,,,0
3-13-2023 17:16:55,NIT Nagpur,Nagpur,,NIT NAGPUR,35,,No One,2,4,2,2,4,4,4,3,4,4,4,,,,0
3-13-2023 17:20:54,NIT Nagpur,Nagpur,,NIT NAGPUR,35,,No One,2,2,2,3,4,4,4,4,4,4,3,,,,0
2-27-2023 12:02:49,NIT Nagpur(VNIT),Nagpur,,NIT NAGPUR(VNIT),35,,No One,2,2,3,4,5,5,4,4,4,3,4,,,,0
3-13-2023 17:19:32,NIT Napgpur,Nagpur,,NIT NAPGPUR,35,,No One,2,3,2,2,4,4,4,2,4,4,4,,,,0
2-12-2023 23:01:24,Vnit,Nagpur,,VNIT,35,,No One,2,1,1,2,5,5,5,5,1,2,3,,,,0
2-8-2023 15:37:21,VNIT Nagpur,Nagpur,,VNIT NAGPUR,35,,No One,2,2,3,4,5,5,5,4,2,2,4,,,,0
3-3-2023 19:09:18,NIT Rourkela,Rourkela,,NIT ROURKELA,36,,No One,3,2,3,3,2,5,3,2,3,2,1,,,,3
3-10-2023 14:12:45,Nit rourkela,Rourkela,,NIT ROURKELA,36,,Mother,2,3,4,3,3,4,4,3,3,3,2,,,,1
3-13-2023 16:02:16,NIT Rourkela ,Rourkela,,NIT ROURKELA ,36,,Sibling,4,3,4,2,5,5,5,5,3,2,5,,,,0
3-13-2023 16:02:59,NIT Rourkela ,Rourkela,,NIT ROURKELA ,36,,No One,4,2,2,2,1,5,1,2,3,1,1,,,,4
3-13-2023 16:08:11,NIT Silchar ,Silchar,,NIT SILCHAR ,37,,No One,3,1,3,1,2,1,4,1,3,1,1,,,,-1
3-13-2023 16:09:15,NIT Silchar ,Silchar,,NIT SILCHAR ,37,,No One,4,2,4,2,5,5,5,3,3,1,4,,,,0
2-8-2023 23:22:34,NIT Trichy,Tiruchirappalli,,NIT TRICHY,38,,Sibling,4,4,4,2,4,5,4,4,3,2,4,,,,1
2-19-2023 9:51:24,NIT Trichy,Tiruchirappalli,,NIT TRICHY,38,,No One,1,4,4,2,3,2,4,3,2,3,2,,,,-1
2-19-2023 9:58:31,Nit trichy,Tiruchirappalli,,NIT TRICHY,38,,No One,1,3,4,5,2,2,3,4,1,2,3,,,,0
2-19-2023 10:09:41,NIT Trichy,Tiruchirappalli,,NIT TRICHY,38,,No One,1,3,4,4,3,4,3,4,3,2,4,,,,1
2-19-2023 10:16:41,Nit Trichy,Tiruchirappalli,,NIT TRICHY,38,,Sibling,2,5,5,4,4,3,4,3,3,1,3,,,,-1
2-19-2023 15:41:50,NIT Trichy,Tiruchirappalli,,NIT TRICHY,38,,No One,2,3,4,3,3,5,3,2,2,3,2,,,,2
