Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,diff_Q1,diff_Q2,diff_Q3,diff_Q4,diff_Q5,diff_Q6,diff_Q7,diff_Q8,diff_Q9,Educational,Relational,Structural
16-03-2023 08:39,IITK,Kanpur,,IITK,16,,Sibling,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,4.00,4.00,4.00
16-03-2023 08:40,IITK,Kanpur,,IITK,16,,No One,4,4,4,2,4,4,4,4,4,3,4,0,0,2,0,0,0,0,0,1,3.33,4.00,3.67
16-03-2023 08:41,IITK,Kanpur,,IITK,16,,No One,2,4,4,3,5,5,5,5,5,4,5,1,1,2,0,0,0,0,0,1,3.67,5.00,4.67
16-03-2023 12:07,IITK,Kanpur,,IITK,16,,Mother,2,4,4,2,3,3,4,3,3,3,3,-1,-1,1,0,0,-1,0,0,0,3.33,3.33,3.00
16-03-2023 12:11,IITK,Kanpur,,IITK,16,,Father,2,4,4,2,3,3,4,4,4,4,4,0,0,2,1,1,0,0,0,0,3.33,3.33,4.00
16-03-2023 12:12,IITK,Kanpur,,IITK,16,,Father,2,3,4,3,4,4,4,4,4,4,4,1,0,1,0,0,0,0,0,0,3.33,4.00,4.00
2-25-2023 11:44:57,IIT Kgp,Kharagpur,,IIT KGP,17,,No One,2,4,4,3,2,2,3,4,4,1,4,0,0,1,2,2,1,0,0,3,3.67,2.33,3.00
2-25-2023 11:46:23,IIT Kgp,Kharagpur,,IIT KGP,17,,No One,3,4,4,3,4,5,4,4,5,1,3,-1,-1,0,-1,-2,-1,-1,-2,2,3.67,4.33,3.33
02-11-2023 08:56,IIT Kharagpur,Kharagpur,,IIT KHARAGPUR,17,,No One,2,2,2,3,4,4,3,4,2,1,4,2,2,1,0,0,1,0,2,3,2.33,3.67,2.33
02-11-2023 10:45,IIT Kharagpur,Kharagpur,,IIT KHARAGPUR,17,,No One,2,3,4,3,4,5,4,3,2,4,1,-2,-3,-2,-3,-4,-3,-2,-1,-3,3.33,4.33,3.00
03-04-2023 22:28,IIT Kharagpur,Kharagpur,,IIT KHARAGPUR,17,,No One,2,4,5,5,3,4,5,4,4,3,3,-1,-2,-2,0,-1,-2,-1,-1,0,4.67,4.00,3.67
03-04-2023 22:29,IIT Kharagpur,Kharagpur,,IIT KHARAGPUR,17,,Father,2,4,4,4,2,4,4,4,4,3,2,-2,-2,-2,0,-2,-2,-2,-2,-1,4.00,3.33,3.67
